Period,Date,Bond.ClassA.Balance,Bond.ClassB.Balance,Fund.IAF.Balance,Fund.PAF.Balance,Fund.RESERVE.Balance,Ledger.CumulativeLoss,Ledger.CumulativePrepayment,Var.RealizedLoss,Var.ServicingFeeRate,Var.SeniorFeeAmount,Var.ClassA_IntDue,Var.ClassB_IntDue,Var.DelinqTrigger,Bond.ClassA.Prin_Paid,Bond.ClassB.Prin_Paid
12,2025-01-24,7837761.6524927905,1000000.0,51925.418784354326,0.0,20000.0,0.0,0.0,2978.476967636403,0.00020833333333333335,1651.9478971251876,33038.95794250375,6666.666666666667,False,91588.25370810926,-0.0
13,2025-02-23,7747090.4619582165,1000000.0,56600.59088406287,0.0,20000.0,0.0,0.0,2946.8093172972876,0.00020833333333333335,1632.8670109359982,32657.34021871996,6666.666666666667,False,90671.19053457398,-0.0
14,2025-03-25,7657327.370214862,1000000.0,61185.46961173944,0.0,20000.0,0.0,0.0,2915.4593693444303,0.00020833333333333335,1613.9771795746285,32279.54359149257,6666.666666666667,False,89763.09174335469,-0.0
15,2025-04-24,7568463.499545417,1000000.0,65680.9684661165,0.0,20000.0,0.0,0.0,2884.4240154773697,0.00020833333333333335,1595.2765354614296,31905.53070922859,6666.666666666667,False,88863.87066944502,-0.0
16,2025-05-24,7480490.058064079,1000000.0,70087.99197485829,0.0,20000.0,0.0,0.0,2853.700177458113,0.00020833333333333335,1576.7632290719619,31535.264581439234,6666.666666666667,False,87973.44148133788,-0.0
17,2025-06-23,7393398.338891057,1000000.0,74407.43578147834,0.0,20000.0,0.0,0.0,2823.2848068219605,0.00020833333333333335,1558.4354287633498,31168.708575266995,6666.666666666667,False,87091.71917302161,-0.0
18,2025-07-23,7307179.71933499,1000000.0,78640.18673142011,0.0,20000.0,0.0,0.0,2793.174884591095,0.00020833333333333335,1540.2913206023038,30805.82641204607,6666.666666666667,False,86218.61955606751,-0.0
19,2025-08-22,7221825.660083206,1000000.0,82787.12295730886,0.0,20000.0,0.0,0.0,2763.3674209909286,0.00020833333333333335,1522.3291081947896,30446.58216389579,6666.666666666667,False,85354.05925178342,-0.0
20,2025-09-21,7137327.704399763,1000000.0,86849.11396338283,0.0,20000.0,0.0,0.0,2733.859455169162,0.00020833333333333335,1504.5470125173347,30090.94025034669,6666.666666666667,False,84497.9556834437,-0.0
21,2025-10-21,7053677.477331165,1000000.0,90827.02070911141,0.0,20000.0,0.0,0.0,2704.6480549175467,0.00020833333333333335,1486.9432717499506,29738.86543499901,6666.666666666667,False,83650.22706859745,-0.0
22,2025-11-20,6970866.68491972,1000000.0,94721.69569200826,0.0,20000.0,0.0,0.0,2675.73031639631,0.00020833333333333335,1469.5161411106594,29390.322822213187,6666.666666666667,False,82810.79241144564,-0.0
23,2025-12-20,6888887.113424422,1000000.0,98533.98302964693,0.0,20000.0,0.0,0.0,2647.1033638612316,0.00020833333333333335,1452.2638926916084,29045.277853832165,6666.666666666667,False,81979.57149529736,-0.0
24,2026-01-19,6807730.628549331,1000000.0,102264.71854088687,0.0,20000.0,0.0,0.0,2618.764349393333,0.00020833333333333335,1435.1848152967548,28703.696305935093,6666.666666666667,False,81156.48487509135,-0.0
25,2026-02-18,6727389.174679336,1000000.0,105914.72982631729,0.0,20000.0,0.0,0.0,2590.7104526311637,0.00020833333333333335,1418.2772142811107,28365.54428562221,6666.666666666667,False,80341.45386999473,-0.0
26,2026-03-20,6647854.774123266,1000000.0,109484.8363479262,0.0,20000.0,0.0,0.0,2562.9388805056556,0.00020833333333333335,1401.5394113915283,28030.788227830566,6666.666666666667,False,79534.4005560698,-0.0
27,2026-04-19,6569119.526364254,1000000.0,112975.84950800253,0.0,20000.0,0.0,0.0,2535.4468669775197,0.00020833333333333335,1384.969744609014,27699.394892180277,6666.666666666667,False,78735.2477590125,-0.0
28,2026-05-19,6491175.607317297,1000000.0,116388.57272727812,0.0,20000.0,0.0,0.0,2508.2316727771668,0.00020833333333333335,1368.566567992553,27371.331359851058,6666.666666666667,False,77943.91904695705,-0.0
